CommonElementNumber,CommonElementName,Synonyms,Description,ElementType,Format,Unit,Element_Allowed_Values_Def,ReportTemplates,Source,PHI,Program-PReference,RegistryName,RegistryElementName,RegistryElementNumber-Section-Subsection,Registry_allowed_values_Defination_Notes,Minimum,Maximum,MaxLength,Step,Usage,Conditional,Cardinality,Hint,RegistryReportTemplates,FirstActiveVersion,LastActiveVersion,Category,Procedure,Modality,BodyArea,Anatomy,
,Gallstone detection,,detect if there is a gallstone,enumerated,,,absent| present,,DSI,,Abdominal panel,Gallstone detection,Gallstone detection,,absent| present,,,,,Required,,One,Gallstone detection,,1,,Image,ultrasound of the abdomen complete| ultrasound of the right upper quadrant,CT,abdomen,gallbladder,
,Sconographic Murphy's sign detection,,detect if Sonographic Murphy's sign is present,enumerated,,,absent| present,,DSI,,Abdominal panel,Sconographic Murphy's sign detection,Sconographic Murphy's sign detection,,absent| present,,,,,Required,,One,Sconographic Murphy's sign detection,,1,,Image,ultrasound of the abdomen complete| ultrasound of the right upper quadrant,CT,abdomen,gallbladder,
,Gallbladder wall thickness measurement,,gallbladder wall thickness,float,,mm,,,DSI,,Abdominal panel,Gallbladder wall thickness measurement,Gallbladder wall thickness measurement,,,,,,,Required,,One,Gallbladder wall thickness measurement,,1,,Image,ultrasound of the abdomen complete| ultrasound of the right upper quadrant,CT,abdomen,gallbladder,
,Pericholecystic fluid detection,,detect if perichilecystic fluid is present,enumerated,,,absent| present,,DSI,,Abdominal panel,Pericholecystic fluid detection,Pericholecystic fluid detection,,absent| present,,,,,Required,,One,Pericholecystic fluid detection,,1,,Image,ultrasound of the abdomen complete| ultrasound of the right upper quadrant,CT,abdomen,gallbladder,
,Abdominal pain,,Presence of right upper quadrant abdominal pain,enumerated,,,absent| present,,DSI,,Abdominal panel,Abdominal pain,Abdominal pain,,absent| present,,,,,Optional,,One,Abdominal pain,,1,,Image,ultrasound of the abdomen complete| ultrasound of the right upper quadrant,CT,abdomen,gallbladder,
,Comorbidities,,Presence of varies comorbidities,enumerated,,,female| over 40 years of age| diabetes| sickle cell anemia| obesity,,DSI,,Abdominal panel,Comorbidities,Comorbidities,,female| over 40 years of age| diabetes| sickle cell anemia| obesity,,,,,Optional,,One,Comorbidities,,1,,Image,ultrasound of the abdomen complete| ultrasound of the right upper quadrant,CT,abdomen,gallbladder,
,Cholecystostomy tube,,Presence of percutaneous drainage tube,enumerated,,,absent| present,,DSI,,Abdominal panel,Cholecystostomy tube,Cholecystostomy tube,,absent| present,,,,,Optional,,One,Cholecystostomy tube,,1,,Image,ultrasound of the abdomen complete| ultrasound of the right upper quadrant,CT,abdomen,gallbladder,
,Adenomyomatosis,,Presence of adenomyomatosis,enumerated,,,absent| present,,DSI,,Abdominal panel,Adenomyomatosis,Adenomyomatosis,,absent| present,,,,,Optional,,One,Adenomyomatosis,,1,,Image,ultrasound of the abdomen complete| ultrasound of the right upper quadrant,CT,abdomen,gallbladder,
,Cholesterol crystals,,Presence of cholesterol crystals,enumerated,,,absent| present,,DSI,,Abdominal panel,Cholesterol crystals,Cholesterol crystals,,absent| present,,,,,Optional,,One,Cholesterol crystals,,1,,Image,ultrasound of the abdomen complete| ultrasound of the right upper quadrant,CT,abdomen,gallbladder,
,Gallbladder carcinoma,,Presence of gallbladder cacinoma,enumerated,,,absent| present,,DSI,,Abdominal panel,Gallbladder carcinoma,Gallbladder carcinoma,,absent| present,,,,,Optional,,One,Gallbladder carcinoma,,1,,Image,ultrasound of the abdomen complete| ultrasound of the right upper quadrant,CT,abdomen,gallbladder,
,Polyp count,,Count of polyps,float,,,,,DSI,,Abdominal panel,Polyp count,Polyp count,,,,,,,Required,,One,Polyp count,,1,,Image,CT colonography| low dose screening| with| without contrast,CT,abdomen| pelvis,colon,
,Polyp size for each poylp,,Size of a polyp,float,,mm,,,DSI,,Abdominal panel,Polyp size for each poylp,Polyp size for each poylp,,,,,,,Required,,One,Polyp size for each poylp,,1,,Image,CT colonography| low dose screening| with| without contrast,CT,abdomen| pelvis,colon,
,Polyp detection (>6mm),,Detection of polyps ?6mm ,enumerated,,,zero polyps > 6 mm| one polyp > 6 mm| two or more polyps > 6 mm,,DSI,,Abdominal panel,Polyp detection (>6mm),Polyp detection (>6mm),,zero polyps > 6 mm| one polyp > 6 mm| two or more polyps > 6 mm,,,,,Required,,One,Polyp detection (>6mm),,1,,Image,CT colonography| low dose screening| with| without contrast,CT,abdomen| pelvis,colon,
,Polyp localization,,bounding box around a polyp,Array,,,,,DSI,,Abdominal panel,Polyp localization,Polyp localization,,,,,,,Required,,One,Polyp localization,,1,,Image,CT colonography| low dose screening| with| without contrast,CT,abdomen| pelvis,colon,
,Colon anatomy,,Colon anatomy ,enumerated,,,nonredundant| redundant| very redundant,,DSI,,Abdominal panel,Colon anatomy,Colon anatomy,,nonredundant| redundant| very redundant,,,,,Optional,,One,Colon anatomy,,1,,Image,CT colonography| low dose screening| with| without contrast,CT,abdomen| pelvis,colon,
,Colon surgery,,Previous colon surgeries,enumerated,,,colon segments could be excised| not excised,,DSI,,Abdominal panel,Colon surgery,Colon surgery,,colon segments could be excised| not excised,,,,,Optional,,One,Colon surgery,,1,,Image,CT colonography| low dose screening| with| without contrast,CT,abdomen| pelvis,colon,
,Inflammatory bowel disease,,Is there any disease present,enumerated,,,crohn disease| ulcerative colitis| none�,,DSI,,Abdominal panel,Inflammatory bowel disease,Inflammatory bowel disease,,crohn disease| ulcerative colitis| none�,,,,,Optional,,One,Inflammatory bowel disease,,1,,Image,CT colonography| low dose screening| with| without contrast,CT,abdomen| pelvis,colon,
,Tagging,,Did stool tagging take place,enumerated,,,yes| no,,DSI,,Abdominal panel,Tagging,Tagging,,yes| no,,,,,Optional,,One,Tagging,,1,,Image,CT colonography| low dose screening| with| without contrast,CT,abdomen| pelvis,colon,
,Sigmoid colonic wall thickness,,sigmoid colonic wall thickness,float,,mm,,,DSI,,Abdominal panel,Sigmoid colonic wall thickness,Sigmoid colonic wall thickness,,,,,,,Required,,One,Sigmoid colonic wall thickness,,1,,Image,CT abdomen with contrast| without contrast| CT abdomen and pelvis with contrast| CT abdomen and pelvis without contrast,CT,abdomen,colon,
,Detection of pericolonic infiltrative changes,,pericolonic infiltrative changes,enumerated,,,pericolonic infiltrative changes absent| pericolonic infiltrative changes present,,DSI,,Abdominal panel,Detection of pericolonic infiltrative changes,Detection of pericolonic infiltrative changes,,pericolonic infiltrative changes absent| pericolonic infiltrative changes present,,,,,Required,,One,Detection of pericolonic infiltrative changes,,1,,Image,CT abdomen with contrast| without contrast| CT abdomen and pelvis with contrast| CT abdomen and pelvis without contrast,CT,abdomen,colon,
,Pericolonic lymph node detection,,detect if pericolonic lymph node is present or absent,enumerated,,,pericolonic lymph node absent| pericolonic lymph node present,,DSI,,Abdominal panel,Pericolonic lymph node detection,Pericolonic lymph node detection,,pericolonic lymph node absent| pericolonic lymph node present,,,,,Required,,One,Pericolonic lymph node detection,,1,,Image,CT abdomen with contrast| without contrast| CT abdomen and pelvis with contrast| CT abdomen and pelvis without contrast,CT,abdomen,colon,
,Extramural fluid detection,,detect if extramural fluid is present or absent,enumerated,,,extramural fluid absent| extramural fluid present,,DSI,,Abdominal panel,Extramural fluid detection,Extramural fluid detection,,extramural fluid absent| extramural fluid present,,,,,Required,,One,Extramural fluid detection,,1,,Image,CT abdomen with contrast| without contrast| CT abdomen and pelvis with contrast| CT abdomen and pelvis without contrast,CT,abdomen,colon,
,Extramural fluid classification,,extramural fluid characterization,enumerated,,,organization absent| organization present,,DSI,,Abdominal panel,Extramural fluid classification,Extramural fluid classification,,organization absent| organization present,,,,,Required,,One,Extramural fluid classification,,1,,Image,CT abdomen with contrast| without contrast| CT abdomen and pelvis with contrast| CT abdomen and pelvis without contrast,CT,abdomen,colon,
,Detect free air,,free air detection in abdomen CT,enumerated,,,free air absent| free air present,,DSI,,Abdominal panel,Detect free air,Detect free air,,free air absent| free air present,,,,,Required,,One,Detect free air,,1,,Image,CT abdomen with contrast| without contrast| CT abdomen and pelvis with contrast| CT abdomen and pelvis without contrast,CT,abdomen,colon,
,Abdominal pain,,Is left lower quadrant pain present?,enumerated,,,yes| no,,DSI,,Abdominal panel,Abdominal pain,Abdominal pain,,yes| no,,,,,Required,,One,Abdominal pain,,1,,Image,CT abdomen with contrast| without contrast| CT abdomen and pelvis with contrast| CT abdomen and pelvis without contrast,CT,abdomen,colon,
,Percutaneous Tube,,Is percutaneous drainage tube present?,enumerated,,,yes| no,,DSI,,Abdominal panel,Percutaneous Tube,Percutaneous Tube,,yes| no,,,,,Required,,One,Percutaneous Tube,,1,,Image,CT abdomen with contrast| without contrast| CT abdomen and pelvis with contrast| CT abdomen and pelvis without contrast,CT,abdomen,colon,
,Other findings,,Provide any additional details,enumerated,,,extramural abscess| colonic malignancy| colonic perforation,,DSI,,Abdominal panel,Other findings,Other findings,,extramural abscess| colonic malignancy| colonic perforation,,,,,Required,,One,Other findings,,1,,Image,CT abdomen with contrast| without contrast| CT abdomen and pelvis with contrast| CT abdomen and pelvis without contrast,CT,abdomen,colon,
,Risk assessment for breast cancer,,personal lifetime risk assessment for breast cancer,float,,probability of developing breast cancer,0|1,,DSI,,Breast panel,Risk assessment for breast cancer,Risk assessment for breast cancer,,0|1,1,0,,,Required,,One,Risk assessment for breast cancer,,1,,Image,screening mammography,MAM,chest,breast| no prior surgery| no implants,
,EMR,,Choose the correct EMR ,enumerated,,,parity| estrogen use| menopausal status| BMI/obesity,,DSI,,Breast panel,EMR,EMR,,parity| estrogen use| menopausal status| BMI/obesity,,,,,Optional,,One,EMR,,1,,Image,screening mammography,MAM,chest,breast| no prior surgery| no implants,
,History,,History of the patient or family,enumerated,,,family cancer history| menarche| personal cancer history,,DSI,,Breast panel,History,History,,family cancer history| menarche| personal cancer history,,,,,Optional,,One,History,,1,,Image,screening mammography,MAM,chest,breast| no prior surgery| no implants,
,Risk assessment calculator,,Which risk assessment calculator was used,enumerated,,,Gail| Tyrer Cuzick| BRCA pro,,DSI,,Breast panel,Risk assessment calculator,Risk assessment calculator,,Gail| Tyrer Cuzick| BRCA pro,,,,,Optional,,One,Risk assessment calculator,,1,,Image,screening mammography,MAM,chest,breast| no prior surgery| no implants,
,BI-RADS breast composition category,,assign a BI-RADS breast composition category,enumerated,,,"the breasts are almost entirely fatty.  
there are scattered areas of fibroglandular density.
the breasts are heterogeneously dense| which may obscure small masses.
the breasts are extremely dense| which lowers the sensitivity of mammography.
",,DSI,,Breast panel,BI-RADS breast composition category,BI-RADS breast composition category,,"the breasts are almost entirely fatty.  
there are scattered areas of fibroglandular density.
the breasts are heterogeneously dense| which may obscure small masses.
the breasts are extremely dense| which lowers the sensitivity of mammography.
",,,,,Required,,One,BI-RADS breast composition category,,1,,Image,screening mammography and screening tomosynthesis,MAM,chest,breast| no exclusion criteria,
,Aggregate numeric breast density score,,assign an aggregate numeric breast density score,float,,,0|1,,DSI,,Breast panel,Aggregate numeric breast density score,Aggregate numeric breast density score,,0|1,1,0,,,Required,,One,Aggregate numeric breast density score,,1,,Image,screening mammography and screening tomosynthesis,MAM,chest,breast| no exclusion criteria,
,Regional breast density information,,regional breast density score,float,,,0|1,,DSI,,Breast panel,Regional breast density information,Regional breast density information,,0|1,1,0,,,Required,,One,Regional breast density information,,1,,Image,screening mammography and screening tomosynthesis,MAM,chest,breast| no exclusion criteria,
,Suspicious breast lesion detection,,identify suspicious lesions in screening situations that require further evaluation,enumerated,,,benign lesion| malignant lesion,,DSI,,Breast panel,Suspicious breast lesion detection,Suspicious breast lesion detection,,benign lesion| malignant lesion,,,,,Required,,One,Suspicious breast lesion detection,,1,,Image,screening mammography to include screening ultrasound and breast MRI,MAM| US and MR,chest,breast| no prior surgery| no implants,
,Breast lesion classification,,lesion evaluation with radiology and pathology data,enumerated,,,concordant benign| concordant but high risk| discordant,,DSI,,Breast panel,Breast lesion classification,Breast lesion classification,,concordant benign| concordant but high risk| discordant,,,,,Required,,One,Breast lesion classification,,1,,Image,screening mammography to include screening ultrasound and breast MRI,MAM| US and MR,chest,breast| no prior surgery| no implants,
,Follow up plan recommendation,,recommend follow up action based on the breast lesion finding,enumerated,,,"6 month follow up|
routine annual|
6 month follow up with possible breast MRI|
surgical excision|
repeat biopsy
",,DSI,,Breast panel,Follow up plan recommendation,Follow up plan recommendation,,"6 month follow up|
routine annual|
6 month follow up with possible breast MRI|
surgical excision|
repeat biopsy
",,,,,Required,,One,Follow up plan recommendation,,1,,Image,screening mammography to include screening ultrasound and breast MRI,MAM| US and MR,chest,breast| no prior surgery| no implants,
,Breast calcification morphology,,morphology of breast calcification,enumerated,,,"skin| vascular| coarse or �popcorn-like�| large rod-like|
round| rim| dystrophic| milk of calcium| suture|
amorphous| coarse heterogeneous|
fine pleomorphic|
fine linear or fine linear branching|
diffuse| regional|
grouped|linear| 
segmental
",,DSI,,Breast panel,Breast calcification morphology,Breast calcification morphology,,"skin| vascular| coarse or �popcorn-like�| large rod-like|
round| rim| dystrophic| milk of calcium| suture|
amorphous| coarse heterogeneous|
fine pleomorphic|
fine linear or fine linear branching|
diffuse| regional|
grouped|linear| 
segmental
",,,,,Required,,One,Breast calcification morphology,,1,,Image,screening mammography and screening tomosynthesis,MAM,chest,breast| no exclusion criteria,
,Follow up recommendation,,follow up recommendation from Bi-RADS Fifth Edition,enumerated,,,"incomplete - need additional imaging| negative| benign| probably benign - initial short-interval follow-up suggested| suspicious abnormality - biopsy should be considered| highly suggestive of malignancy- appropriate action should be taken| known biopsy-proven malignancy- appropriate action should be taken
",,DSI,,Breast panel,Follow up recommendation,Follow up recommendation,,"incomplete - need additional imaging| negative| benign| probably benign - initial short-interval follow-up suggested| suspicious abnormality - biopsy should be considered| highly suggestive of malignancy- appropriate action should be taken| known biopsy-proven malignancy- appropriate action should be taken
",,,,,Required,,One,Follow up recommendation,,1,,Image,screening mammography and screening tomosynthesis,MAM,chest,breast| no exclusion criteria,
,Detection of suspicious microcalcifications,,detect lesions with high risk of malignancy,enumerated,,,suspicious microcalcification present| suspicious microcalcification absent,,DSI,,Breast panel,Detection of suspicious microcalcifications,Detection of suspicious microcalcifications,,suspicious microcalcification present| suspicious microcalcification absent,,,,,Required,,One,Detection of suspicious microcalcifications,,1,,Image,stereotactic biopsy| diagnostic mammography| magnification CC| ML mammography images,MAM,chest,breast| no prior surgery| no implants,
,Suspicious microcalcification localization,,localize any suspicious microcalcifications,array,,,coordinates x| y| w| h,,DSI,,Breast panel,Suspicious microcalcification localization,Suspicious microcalcification localization,,coordinates x| y| w| h,,,,,Required,,One,Suspicious microcalcification localization,,1,,Image,Diagnostic mammography,MAM,chest,breast| no prior surgery| no implants,
,Malignant microcalcification classification,,"for a selected microcalcification, identify the classification of malignancy",enumerated,,,benign| malignant,,DSI,,Breast panel,Malignant microcalcification classification,Malignant microcalcification classification,,benign| malignant,,,,,Required,,One,Malignant microcalcification classification,,1,,Image,Diagnostic mammography,MAM,chest,breast| no prior surgery| no implants,
,Probability of malignant microcalcification,,"for a selected microcalcification, identify the probability of malignancy",enumerated,,,benign| malignant,,DSI,,Breast panel,Probability of malignant microcalcification,Probability of malignant microcalcification,,benign| malignant,,,,,Required,,One,Probability of malignant microcalcification,,1,,Image,Diagnostic mammography,MAM,chest,breast| no prior surgery| no implants,
,Detection of suspicious microcalcification lesions,,detect microcalcifications with high risk of malignancy,enumerated,,,"suspicious microcalcification present| suspicious microcalcification absent
",,DSI,,Breast panel,Detection of suspicious microcalcification lesions,Detection of suspicious microcalcification lesions,,"suspicious microcalcification present| suspicious microcalcification absent
",,,,,Required,,One,Detection of suspicious microcalcification lesions,,1,,Image,stereotactic biopsy| diagnostic mammography| magnification CC| ML mammography images,MAM,chest,breast| no prior surgery| no implants,
,Pathology report,,contents of the pathology report,free text,,,,,DSI,,Breast panel,Pathology report,Pathology report,,,,,,,Required,,One,Pathology report,,1,,Image,stereotactic biopsy| diagnostic mammography| magnification CC| ML mammography images,MAM,chest,breast| no prior surgery| no implants,
,Digitized slide image data,,imaging data from biopsy slide,free text,,,,,DSI,,Breast panel,Digitized slide image data,Digitized slide image data,,,,,,,Required,,One,Digitized slide image data,,1,,Image,stereotactic biopsy| diagnostic mammography| magnification CC| ML mammography images,MAM,chest,breast| no prior surgery| no implants,
,Malignant breast lesion detection,,detection of malignant breast lesion,enumerated,,,benign lesion| malignant lesion,,DSI,,Breast panel,Malignant breast lesion detection,Malignant breast lesion detection,,benign lesion| malignant lesion,,,,,Required,,One,Malignant breast lesion detection,,1,,Image,diffusion weighted MRI,MR,chest,breast| no exclusion criteria,
,ADC values on ROI,,ADC value on ROI,float,,mm2/s,,,DSI,,Breast panel,ADC values on ROI,ADC values on ROI,,,,,,,Required,,One,ADC values on ROI,,1,,Image,diffusion weighted MRI,MR,chest,breast| no exclusion criteria,
,Malignant lesion,,describe the nature of the malignant lesion,enumerated,,,invasive ductal carcinomas| ductal carcinoma in situ| invasive lobular carcinoma| lobular carcinoma in situ| angiosarcomas| inflammatory breast cancer| paget disease of the breast| phyllodes tumors,,DSI,,Breast panel,Malignant lesion,Malignant lesion,,invasive ductal carcinomas| ductal carcinoma in situ| invasive lobular carcinoma| lobular carcinoma in situ| angiosarcomas| inflammatory breast cancer| paget disease of the breast| phyllodes tumors,,,,,Optional,,One,Malignant lesion,,1,,Image,diffusion weighted MRI,MR,chest,breast| no exclusion criteria,
,High resolution MBI image,,resolve the image of a low0dose MBI image,pixel,,,,,DSI,,Breast panel,High resolution MBI image,High resolution MBI image,,,,,,,Required,,One,High resolution MBI image,,1,,Image,low-dose molecular breast imaging scans,MBI,chest,breast| no exclusion criteria,
,Pathologies of molecular breast imaging,,List all known pathologies,enumerated,,,ductal carcinoma| lobular cardinoma| mixed carcinoma| mucinous carcinoma| papillary carcinoma| metaplastic carcinoma| tubular carcinoma| medullary carcinoma| Paget�s disease| micropapillary carcinoma| apocrine carcinoma| neuroendocrine carcinoma| secretory carcinoma| adenoid cystic carcinoma| cribriform carcinoma| sarcoma| other,,DSI,,Breast panel,Pathologies of molecular breast imaging,Pathologies of molecular breast imaging,,ductal carcinoma| lobular cardinoma| mixed carcinoma| mucinous carcinoma| papillary carcinoma| metaplastic carcinoma| tubular carcinoma| medullary carcinoma| Paget�s disease| micropapillary carcinoma| apocrine carcinoma| neuroendocrine carcinoma| secretory carcinoma| adenoid cystic carcinoma| cribriform carcinoma| sarcoma| other,,,,,Optional,,One,Pathologies of molecular breast imaging,,1,,Image,low-dose molecular breast imaging scans,MBI,chest,breast| no exclusion criteria,
,Axillary lymph node involvement,,Is there axilliary lymph node involvement?,enumerated,,,absent| present,,DSI,,Breast panel,Axillary lymph node involvement,Axillary lymph node involvement,,absent| present,,,,,Optional,,One,Axillary lymph node involvement,,1,,Image,low-dose molecular breast imaging scans,MBI,chest,breast| no exclusion criteria,
,Pain,,Is there any pain?,enumerated,,,absent| present,,DSI,,Breast panel,Pain,Pain,,absent| present,,,,,Optional,,One,Pain,,1,,Image,low-dose molecular breast imaging scans,MBI,chest,breast| no exclusion criteria,
,Similar lesions in the database,,set of all images from a database that look similar to the lesion selected in a bounding box,enumerated,,,images from the database,,DSI,,Breast panel,Similar lesions in the database,Similar lesions in the database,,images from the database,,,,,Required,,One,Similar lesions in the database,,1,,Image,Diagnostic mammography,MAM,chest,breast| no exclusion criteria,
,Similarity score,,similarity score between the lesions selected,float,,,,,DSI,,Breast panel,Similarity score,Similarity score,,,,,,,Required,,One,Similarity score,,1,,Image,Diagnostic mammography,MAM,chest,breast| no exclusion criteria,
,Pathologic diagnosis for similar lesions,,"from the set of similar lesions in the database, list the pathologic diagnosis for each identified lesion",enumerated,,,,,DSI,,Breast panel,Pathologic diagnosis for similar lesions,Pathologic diagnosis for similar lesions,,,,,,,Required,,One,Pathologic diagnosis for similar lesions,,1,,Image,Diagnostic mammography,MAM,chest,breast| no exclusion criteria,
,Breast cancer history,,"from the set of similar lesions in the database, present breast cancer history of the patient",enumerated,,,patient with  history of breast cancer| patient with no history of breast cancer,,DSI,,Breast panel,Breast cancer history,Breast cancer history,,patient with  history of breast cancer| patient with no history of breast cancer,,,,,Required,,One,Breast cancer history,,1,,Image,Diagnostic mammography,MAM,chest,breast| no exclusion criteria,
,Genetic risk factors for breast cancer,,"from the set of similar lesions in the database, present genetic risk factors for breast cancer",enumerated,,,genetic factors known to be involved in breast cancer risk,,DSI,,Breast panel,Genetic risk factors for breast cancer,Genetic risk factors for breast cancer,,genetic factors known to be involved in breast cancer risk,,,,,Required,,One,Genetic risk factors for breast cancer,,1,,Image,Diagnostic mammography,MAM,chest,breast| no exclusion criteria,
,clinician selected bounding box around a lesion of interest,,clinician selected bounding box around a lesion of interest,array,,,,,DSI,,Breast panel,clinician selected bounding box around a lesion of interest,clinician selected bounding box around a lesion of interest,,,,,,,Optional,,One,clinician selected bounding box around a lesion of interest,,1,,Image,Diagnostic mammography,MAM,chest,breast| no exclusion criteria,
,Retropectoral fat plane visible on CC,,"identify whether retropectoral fat plane is visible on CC, one criteria for an adequate image.",enumerated,,,"retropectoral fat plane not visible| retropectoral fat plane partially in view| nipple partially identified but inappropriately positioned| retropectoral fat plane fully in view
",,DSI,,Breast panel,Retropectoral fat plane visible on CC,Retropectoral fat plane visible on CC,,"retropectoral fat plane not visible| retropectoral fat plane partially in view| nipple partially identified but inappropriately positioned| retropectoral fat plane fully in view
",,,,,Required,,One,Retropectoral fat plane visible on CC,,1,,Image,diagnostic mammography| screening mammography and screening tomosynthesis,MAM,chest,breast| no exclusion criteria,
